epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,235.79,1.28966,0.95459,1.24819,0.74044,0.56017,0.59844,0.27923,1.83582,1.09953,1.60496,0.000759318,0.000759318,0.000759318
57,238.633,1.26128,0.94344,1.21696,0.6859,0.58583,0.59838,0.26707,1.91289,1.17414,1.72051,0.000742815,0.000742815,0.000742815
58,241.523,1.28331,0.93264,1.22299,0.72091,0.60682,0.66103,0.30319,1.99624,1.13991,1.82174,0.000726312,0.000726312,0.000726312
59,244.751,1.25111,0.92438,1.22622,0.73415,0.50642,0.54986,0.26025,1.84991,1.1708,1.68708,0.000709809,0.000709809,0.000709809
60,248.457,1.29159,0.99717,1.23264,0.66972,0.54193,0.58377,0.28294,1.90443,1.20579,1.80499,0.000693305,0.000693305,0.000693305
61,251.504,1.24775,0.93465,1.21574,0.72172,0.57534,0.63693,0.2904,2.01448,1.2686,1.87472,0.000676802,0.000676802,0.000676802
62,254.489,1.20814,0.90334,1.18992,0.72089,0.56217,0.62478,0.29095,1.90676,1.17517,1.71231,0.000660299,0.000660299,0.000660299
63,257.458,1.2899,0.93945,1.23124,0.69712,0.59817,0.64344,0.29914,1.93885,1.17616,1.72964,0.000643795,0.000643795,0.000643795
64,260.438,1.27959,0.93988,1.23561,0.7947,0.58348,0.63939,0.30703,1.92313,1.19536,1.76581,0.000627292,0.000627292,0.000627292
65,264.173,1.21028,0.90029,1.19331,0.7354,0.58896,0.63837,0.29509,1.87716,1.17205,1.73176,0.000610789,0.000610789,0.000610789
66,267.387,1.23543,0.89842,1.20111,0.70357,0.63754,0.63217,0.29316,1.99091,1.13818,1.82153,0.000594286,0.000594286,0.000594286
67,270.252,1.22924,0.87194,1.16935,0.66126,0.57812,0.5922,0.2745,1.88565,1.12339,1.74392,0.000577782,0.000577782,0.000577782
68,273.27,1.22693,0.8936,1.20975,0.68415,0.61382,0.64931,0.30502,1.8434,1.14901,1.75812,0.000561279,0.000561279,0.000561279
69,276.31,1.192,0.88961,1.20344,0.66901,0.65175,0.67408,0.32183,1.87667,1.05686,1.76631,0.000544776,0.000544776,0.000544776
70,279.883,1.28999,0.94596,1.22265,0.72694,0.62137,0.66466,0.30514,1.85115,1.06738,1.70818,0.000528272,0.000528272,0.000528272
71,282.798,1.21986,0.90428,1.20734,0.71446,0.61039,0.64363,0.2962,1.84653,1.08026,1.70807,0.000511769,0.000511769,0.000511769
72,285.666,1.26788,0.92927,1.18946,0.75121,0.63074,0.67406,0.31312,1.94135,1.08315,1.84788,0.000495266,0.000495266,0.000495266
73,289.146,1.23866,0.88455,1.20642,0.71696,0.62778,0.67142,0.30689,1.86597,1.07816,1.78196,0.000478762,0.000478762,0.000478762
74,292.743,1.22149,0.89379,1.21228,0.73521,0.60304,0.65544,0.30465,1.95913,1.0863,1.82026,0.000462259,0.000462259,0.000462259
75,295.752,1.18279,0.85818,1.19307,0.66794,0.60021,0.64401,0.28664,1.83051,1.0782,1.70795,0.000445756,0.000445756,0.000445756
76,298.697,1.24779,0.89078,1.19899,0.67268,0.60146,0.61593,0.28837,1.78784,1.10014,1.64136,0.000429253,0.000429253,0.000429253
77,301.636,1.15319,0.83124,1.17527,0.74112,0.58181,0.62988,0.28586,1.84358,1.17523,1.72582,0.000412749,0.000412749,0.000412749
78,304.61,1.14082,0.81533,1.1455,0.70302,0.57523,0.59183,0.27471,1.86974,1.18627,1.73141,0.000396246,0.000396246,0.000396246
79,308.194,1.21809,0.84447,1.17115,0.66779,0.57014,0.57888,0.28186,1.81495,1.13438,1.69073,0.000379743,0.000379743,0.000379743
80,311.403,1.17332,0.83165,1.13968,0.71026,0.59428,0.62874,0.29389,1.83818,1.13455,1.68978,0.000363239,0.000363239,0.000363239
81,314.401,1.16903,0.82156,1.16229,0.69682,0.53511,0.57866,0.28573,1.78635,1.13256,1.6308,0.000346736,0.000346736,0.000346736
