epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,366.03,1.34765,1.02771,1.28836,0.73762,0.55184,0.56546,0.30545,1.58702,1.08416,1.52744,0.00112239,0.00112239,0.00112239
68,370.045,1.37512,1.04606,1.29046,0.69289,0.56755,0.57074,0.29475,1.67934,1.11961,1.5444,0.00111414,0.00111414,0.00111414
69,373.902,1.28443,0.93318,1.26305,0.71009,0.55093,0.56633,0.29869,1.61161,1.20352,1.53005,0.00110589,0.00110589,0.00110589
70,377.81,1.31556,1.01106,1.26034,0.80171,0.45602,0.55909,0.2969,1.64065,1.08715,1.54489,0.00109764,0.00109764,0.00109764
71,381.779,1.29443,0.99434,1.25322,0.76943,0.48573,0.56699,0.30002,1.50347,1.08677,1.43881,0.00108938,0.00108938,0.00108938
72,385.745,1.34976,1.06115,1.30764,0.70715,0.53472,0.58053,0.2926,1.57369,1.1872,1.49737,0.00108113,0.00108113,0.00108113
73,389.948,1.37509,1.00676,1.2692,0.75773,0.52778,0.5809,0.30356,1.63275,1.07955,1.53857,0.00107288,0.00107288,0.00107288
74,394.171,1.33834,1.01565,1.27384,0.71971,0.49787,0.55573,0.29476,1.58921,1.13387,1.49995,0.00106463,0.00106463,0.00106463
75,398.404,1.30388,0.9815,1.27539,0.71642,0.52083,0.55176,0.28156,1.64895,1.21424,1.55051,0.00105638,0.00105638,0.00105638
76,403.132,1.29187,0.98141,1.23054,0.75403,0.49204,0.53013,0.25846,1.71442,1.12691,1.60176,0.00104813,0.00104813,0.00104813
77,407.285,1.28443,0.97023,1.25079,0.72404,0.52546,0.57404,0.28733,1.68317,1.06849,1.55228,0.00103987,0.00103987,0.00103987
78,411.192,1.32835,0.97945,1.2298,0.6916,0.55514,0.5859,0.28808,1.64823,1.12163,1.50485,0.00103162,0.00103162,0.00103162
79,415.472,1.33464,1.01991,1.27043,0.75227,0.53472,0.58352,0.29217,1.59207,1.12423,1.48542,0.00102337,0.00102337,0.00102337
80,419.625,1.31879,0.96238,1.26156,0.69972,0.52206,0.5417,0.27803,1.65792,1.13872,1.58869,0.00101512,0.00101512,0.00101512
81,423.803,1.2609,0.95288,1.22848,0.70647,0.5294,0.54955,0.29213,1.65977,1.08004,1.51585,0.00100687,0.00100687,0.00100687
82,427.931,1.24738,0.91873,1.21003,0.80305,0.51656,0.57987,0.30374,1.60718,1.01833,1.48208,0.000998616,0.000998616,0.000998616
83,432.063,1.2173,0.92708,1.24266,0.80707,0.50676,0.54911,0.2805,1.6889,1.11118,1.54851,0.000990365,0.000990365,0.000990365
84,436.018,1.27738,0.93452,1.20638,0.65854,0.52546,0.53504,0.27045,1.68187,1.2291,1.57885,0.000982113,0.000982113,0.000982113
85,440.358,1.24767,0.91374,1.20807,0.68769,0.58681,0.60316,0.30585,1.59766,1.06612,1.52169,0.000973861,0.000973861,0.000973861
86,444.175,1.27132,0.92153,1.23076,0.79968,0.55103,0.61275,0.31415,1.61888,1.00808,1.51008,0.00096561,0.00096561,0.00096561
87,448.5,1.27323,0.9132,1.23263,0.74437,0.54977,0.58853,0.27186,1.68137,1.16124,1.54196,0.000957358,0.000957358,0.000957358
88,452.697,1.25978,0.95244,1.23997,0.67389,0.5544,0.57451,0.2891,1.7092,1.09324,1.57224,0.000949106,0.000949106,0.000949106
89,457.551,1.23357,0.89935,1.22238,0.71906,0.54368,0.55893,0.28282,1.70134,1.06543,1.5695,0.000940855,0.000940855,0.000940855
90,462.088,1.26879,0.93623,1.21008,0.62792,0.53819,0.52747,0.27451,1.6846,1.2286,1.62152,0.000932603,0.000932603,0.000932603
91,466.256,1.2788,0.97596,1.23561,0.68039,0.54398,0.551,0.28979,1.63962,1.29664,1.56689,0.000924352,0.000924352,0.000924352
92,470.567,1.26604,0.91812,1.23204,0.75672,0.51232,0.56708,0.28855,1.67027,1.05498,1.58662,0.0009161,0.0009161,0.0009161
